ParticipantID,NLL,Recovered_lr1,Recovered_lr2,Recovered_lam,Recovered_w,Recovered_p,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
11,-1.8489544658369643,0.134286793897952,1.0,0.9258005280168387,0.0,1.0,0.8795085046645824,0.6332273511772627,10.0,10.0,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,-0.6939181308691762,1.0,0.4431723013824963,1.0,0.9531986482634995,0.1574975774996529,0.7967278368503774,0.2207793293740192,6.117811897347223,10.0,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,-1.2372114861653223,0.0684952978796246,1.0,0.0,0.7666693919307106,0.4578455194322477,0.7610589051770755,0.6283941476272288,10.0,10.0,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-1.9150793717739663,0.07155662840222303,0.20547217278001892,1.0,0.2575444877528514,1.0,0.6422123390728489,0.15668475121474387,10.0,10.0,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-3.2213276166791665,0.19418372291929306,0.5417844567960779,0.6751255690254679,0.0,1.0,0.3,0.3779182165318001,10.0,10.0,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,-0.1405329251322094,0.10961106438565028,1.0,1.0,0.29551906687178264,1.0,0.6730176687732029,0.6044769729391141,2.668881758589148,0.43313719530071215,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
17,-0.44625348905649354,1.0,1.0,1.0,0.9591762792353934,0.09800971152441212,0.715917747901632,0.28493433335699214,10.0,10.0,0.2381144285602854,0.4332604132341328,0.8331336978212078,4.055573841390242,0.375163196682704,0.7168114846898173,2.221401066240629,0.3189358689174241,9.630323387846756,9.382617685023783
18,-2.0768657434679416,1.0,0.872833604727321,0.0,1.0,0.9904747477589778,0.39414957851439586,0.1834417208484081,10.0,10.0,1.0400758878267693,0.1812526683423482,0.5300178329754696,8.42518209841559,1.6836054487252743,0.551857652878557,0.9003064980715887,0.1945937352381418,7.613352159920956,1.5009846135204996
19,0.8838128412785425,0.01280573901636528,0.5422566065497777,0.0,0.6963155529449977,1.0,1.5068799434425,0.8466595322772735,1.3293459481347603,2.908878861156799,1.06362816419131,0.6205453768599025,0.0135803768696811,0.3219440386857053,1.4376297001201432,0.4019739083073795,1.6401995904610414,0.8071905755135196,0.3598096765864189,3.5839524462532517
20,-0.7344143618164695,0.6460140211265228,0.6679298977778213,0.7028654621959839,0.9943265829564827,0.10343707295621725,0.704829946122219,0.3434132579554361,10.0,10.0,2.553112533067297,0.1287036985664904,0.7719647530602965,6.455644082734327,0.5764671274001354,0.3248584459993683,3.058343823768209,0.4034066283341728,4.844700609485067,8.874550780727276
21,0.8098485455135319,0.0,0.8152714135187193,0.0,0.22115429123224112,0.5581431388285397,1.9811265972632417,0.650286398706889,8.064568143435885,1.235839794678067,0.5497741984969235,0.8679355176475059,0.0383667136169219,0.994402572548848,1.1161921547022176,0.6839510493563086,1.986729387267159,0.6532511422613194,1.7432113751983724,1.6672193292652826
22,-2.5457816763625734,0.15393992956356167,0.7682671726735443,0.9863324309280942,0.0,1.0,0.3508697988110963,0.3608728006439065,10.0,10.0,2.0833933622151566,0.6662642717521995,0.4162270186935256,8.696140851211128,3.302059673353201,0.3494540530711597,1.169138216967788,0.3740467168670696,7.566160562962172,9.379376643097824
23,-2.281399530534536,0.20528543190541554,0.6735711624762039,0.0,0.7227011890800522,0.726100401525581,0.3,0.6982987494083447,5.43659290863927,10.0,3.447623997275332,0.2354497134146295,0.3710510351807128,6.115440994503215,2.7341722790790417,0.4335649672453794,0.6752568744607239,0.7122448043972556,0.8813516392543386,8.660774293737196
