ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
11,-3.540580118645568,0.16006240733057778,0.0,0.9,10.0,3.2309301010936693,0.5429798924775696,0.8579862650432307,0.6786806437936842,7.538098725972439,10.0,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,-2.018367413615026,4.0,0.0,0.6980393508718334,4.302612467082374,1.052504480057453,0.8,1.0803230658440741,0.2845537417237695,0.7726589489016833,5.908397947266332,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,-1.4810864088611593,0.2631429164942143,0.0,0.9,10.0,0.7660530405245338,0.8,0.7059150803566691,0.6605638025690407,4.413655430542961,10.0,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-2.48977099543616,2.557233101047318,0.0,0.1366585407859748,0.9255364560906237,2.1333220376528197,0.2,2.7766307969539357,0.09573261932129053,3.4224238880893014,5.227893297047691,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-5.489924583751876,0.6419952909489585,0.0,0.2296582130667988,9.998374484800184,3.285709170822256,0.45424183549677555,0.41129943522303314,0.3897165535879331,3.165248790566402,6.74282280002072,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,-0.14401643238503348,0.8562913871355226,0.44322335454929324,0.9,0.04883440638497534,0.18532496527503228,0.46960907466443064,0.675350418440172,0.603919308998862,10.0,10.0,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
17,-0.4917261774288137,0.18856817511524618,0.0,0.9,10.0,0.020315821422057886,0.8,0.6604950033143675,0.3155980537519122,8.994418783597594,10.0,0.2381144285602854,0.4332604132341328,0.8331336978212078,4.055573841390242,0.375163196682704,0.7168114846898173,2.221401066240629,0.3189358689174241,9.630323387846756,9.382617685023783
18,-3.547986014833043,0.840455808615234,0.0,0.5698985753762256,10.0,1.095460975455271,0.48318079869513675,0.6742483790429558,0.19485727445404194,10.0,1.9611263987637562,1.0400758878267693,0.1812526683423482,0.5300178329754696,8.42518209841559,1.6836054487252743,0.551857652878557,0.9003064980715887,0.1945937352381418,7.613352159920956,1.5009846135204996
19,0.8564603129630491,1.2764405772392262,0.0,0.5496384436927921,0.25036739475061615,0.43873421468138873,0.4007624171051085,1.5571623881359726,0.8359832815072091,1.5540088872924647,4.081166132744108,1.06362816419131,0.6205453768599025,0.0135803768696811,0.3219440386857053,1.4376297001201432,0.4019739083073795,1.6401995904610414,0.8071905755135196,0.3598096765864189,3.5839524462532517
20,-2.618175196049249,1.532947875511772,0.0,0.721647744940043,9.992244605560675,0.2143594413186791,0.6452293489791624,0.8689772249227653,0.40460427321723896,2.8860730943168993,6.685524836668871,2.553112533067297,0.1287036985664904,0.7719647530602965,6.455644082734327,0.5764671274001354,0.3248584459993683,3.058343823768209,0.4034066283341728,4.844700609485067,8.874550780727276
21,0.8051931458684662,0.4540952302481939,0.0,0.7555595722900228,0.11052007629171308,0.3162287323189032,0.2387016963450817,1.9853714459806207,0.6507522174353259,7.108998846955432,4.9683582245616975,0.5497741984969235,0.8679355176475059,0.0383667136169219,0.994402572548848,1.1161921547022176,0.6839510493563086,1.986729387267159,0.6532511422613194,1.7432113751983724,1.6672193292652826
22,-5.085337840180854,2.4774521970776684,0.0,0.7995987235974205,8.986939066373893,3.302011752363037,0.4529411003340742,0.9415494773050779,0.3728637040822665,4.64542724011516,6.5780361423969325,2.0833933622151566,0.6662642717521995,0.4162270186935256,8.696140851211128,3.302059673353201,0.3494540530711597,1.169138216967788,0.3740467168670696,7.566160562962172,9.379376643097824
23,-4.106463309203749,3.999873476015344,0.0,0.48365818702570734,4.318373848621392,2.38719539153434,0.5198940205279675,0.5522363786157342,0.7119387310670712,1.0349995925235653,10.0,3.447623997275332,0.2354497134146295,0.3710510351807128,6.115440994503215,2.7341722790790417,0.4335649672453794,0.6752568744607239,0.7122448043972556,0.8813516392543386,8.660774293737196
