ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
11,45.814140665976325,3.2001573826393073,0.30077752722319945,0.0,19.199252946809636,15.953451096003066,0.3898695374487788,2.2037699180797397,0.39759964083938526,3.9719254305499136,0.2917451728631114,0.0318257275421825,16.347034585680266,10.066135671993246,0.527838561185705,4.451525136121206,0.4427086279882147
12,2.7164874287915093,1.9974729564204499,0.3177471641472621,0.08676526979850992,12.23948267427555,20.0,10.0,1.2352977579770927,0.4904534781371907,3.717092728561588,0.3618703564205054,0.0691490562972127,4.906022882399855,7.005210114144056,7.507282923552251,0.9237407617464184,0.4585841922355246
13,3.4669407983251728,4.0,0.5761961787180881,0.0,16.762980644419997,20.0,10.0,4.165423326370579,0.6531111288414443,3.492981679263875,0.4803849822355048,0.0928392477741509,0.4904497410926445,14.116196023220972,9.791274909582173,3.925826314761534,0.6588357181072506
14,10.379804785607938,1.427544713837957,0.7037096209277164,0.24274292135256387,18.91876059868153,15.662095265837015,10.0,4.316417259531525,0.24844888459851172,2.7017900627120794,0.7159524392687987,0.0360160071053793,5.293632634337079,13.907950719431048,8.669883296077439,3.373034359084121,0.305765676790059
15,20.25917760882005,1.6370323917327703,0.8521134616981685,0.0,11.800109228113973,20.0,10.0,3.3895060886197106,0.6424243370948328,3.745233839782773,0.8130408300997676,0.0780108895260957,3.86000075148506,5.503860612210534,7.384118706046068,4.296866641504285,0.5469934324709308
16,3.0202244109642513,1.068789904412773,0.4252385540589045,0.14007802106696887,16.684845809707372,14.496353861556676,10.0,4.05061873560049,0.2,0.7985822826066489,0.3735808988592262,0.1240732802376964,18.34792373716849,15.290618808209471,5.102138338060776,2.2678752158541897,0.258705247007342
17,14.222828957862422,0.11975928196689606,0.08311658351874487,0.28830183440515494,20.0,20.0,10.0,0.4259725024511548,0.8,1.2747014252013091,0.1085695158216568,0.7041042570260341,10.897674133523893,4.5455476283031775,2.242028392559363,1.3019909875789275,0.3853236513897536
18,2.0794415577159064,3.4352583076083896,0.2863747441641763,0.6363481700089192,12.067193278440495,15.682573249128486,9.400434544467165,4.826079646630706,0.8,1.5508205271256394,0.2677940391395135,0.6116003050798353,0.7014723861015781,6.562206298627363,7.452918728580155,4.714039925376424,0.6816395300945308
19,103.74910040871481,1.0877860495948424,0.23727567449948073,0.08462041166996521,18.123331620923857,14.400169267588732,7.246154948958049,1.5604732554102378,0.21461232498144198,0.963304838286216,0.2096239215454485,0.1713031152454702,17.649950697172187,4.757113744824397,7.581806234131275,1.3052486570234327,0.2198491060445093
20,18.35468688894233,4.0,0.7088239986020858,0.0,3.085984133819814,20.0,6.769033371552349,1.4950195698186481,0.8,2.933790800275064,0.6535816288156808,0.0800631998649481,6.534025158592032,18.96730580378045,1.6294899858218448,0.4333623632645506,0.5567623328669756
21,116.8977236044114,4.0,0.09142135270762954,0.5697157942544018,9.628129888983965,5.216697068303361,0.03090044618322711,2.4448817986663203,0.32257188001880066,3.723959461383888,0.1204004769687822,0.461711064294016,13.679984282339152,3.4365951921365423,0.1125989349218947,4.438415652398624,0.2211387623920157
22,152.87544427586593,4.0,0.7947126819882622,0.0,0.01301970442014493,20.0,8.421816751244625,3.077590660570585,0.8,1.0298331352306982,0.5865156285666017,0.257204640020186,0.1941519314963313,11.509036689299649,3.077922783347105,0.7575703092606156,0.7827699870395481
23,67.8281304740854,0.26845455400155765,0.5992354746335158,0.5518710027632114,20.0,3.0769636298332026,10.0,0.08402797378802059,0.7356032319061017,0.6598890715958099,0.6545118970289494,0.8016517723441617,17.174302314538906,3.685141343168936,2.368085336942393,0.091813182512862,0.7588432803589127
